,rating_nativeness,rating_gender,rating_usuk
3317,0.4472220,0.8097143,0.5471429
3371,0.2388890,0.8230714,0.3878572
3828,0.1091270,0.8006429,0.7635713
4534,0.2793650,0.8011428,0.1617857
2586,0.3857143,0.9234287,0.5617858
4232,0.3948412,0.8044286,0.4485716
3680,0.6551587,0.8639287,0.5671429
4323,0.4202380,0.8309999,0.1285714
3048,0.4075398,0.8454285,0.3871429
2717,0.3833334,0.8165000,0.4696427
2641,0.4742064,0.1235714,0.6228572
3052,0.1726190,0.0464285,0.5578572
3267,0.4738097,0.0416429,0.4560714
4350,0.1384920,0.0439285,0.6378572
3410,0.4789682,0.0203571,0.6350001
3967,0.3297619,0.0196429,0.0450000
2559,0.5456350,0.0814285,0.1250000
2442,0.4666667,0.0893572,0.5857143
4135,0.4599206,0.0726429,0.3700000
2977,0.2686507,0.0396429,0.4214286
2506,0.2599206,0.8071430,0.0317857
2976,0.3182540,0.8723572,0.3371429
3350,0.3039683,0.8932142,0.0175000
2963,0.3638889,0.8865714,0.0203571
4008,0.0178571,0.8852143,0.3367858
2871,0.3595238,0.8646429,0.1532142
2807,0.1988094,0.9290000,0.2660713
3876,0.3623016,0.8925000,0.0060714
3322,0.2130953,0.8247856,0.1321429
4565,0.1329364,0.8664286,0.3846429
3298,0.3293650,0.0664285,0.1007142
4297,0.2384921,0.0337858,0.2871427
4560,0.2686508,0.0328572,0.0767858
4540,0.3059524,0.0869286,0.0596429
2862,0.3416667,0.0873571,0.1435715
4466,0.1730159,0.0497858,0.1178571
3028,0.3932541,0.0378571,0.0217857
2869,0.1579366,0.0485714,0.0217857
2634,0.2952381,0.1259286,0.0114286
3170,0.2087302,0.0712143,0.0746429
2623,0.0904763,0.9382143,0.8925000
2796,0.0956349,0.9059287,0.8817856
4335,0.0412699,0.8802143,0.8046430
2469,0.1214286,0.8495715,0.8978572
4005,0.0353174,0.8827857,0.9146428
2608,0.0130952,0.9065714,0.9689286
4175,0.0150793,0.8075000,0.9092856
2760,0.0750000,0.9041429,0.8039287
3549,0.2297619,0.6595001,0.9350002
4078,0.2293650,0.7960000,0.9046429
3721,0.0753968,0.0607142,0.8550000
3993,0.1543650,0.0532143,0.5989285
3420,0.1182540,0.0639286,0.8107143
4564,0.0170635,0.0392857,0.9242857
4358,0.0587302,0.0325000,0.9385714
2690,0.1825396,0.0564286,0.7228571
3061,0.1952379,0.0782143,0.5285716
2537,0.0492063,0.1315001,0.6464286
4340,0.0769841,0.0672857,0.6664287
4514,0.0329364,0.0232143,0.7060715
4542,0.3452381,0.8307857,0.7867858
3252,0.3924604,0.7542857,0.3957142
4199,0.6646824,0.8804286,0.4560713
3501,0.5115079,0.7160715,0.4507144
3148,0.3416667,0.8398571,0.7957142
3478,0.3920634,0.7867858,0.3782143
2705,0.2150793,0.8316428,0.6167858
3846,0.4976191,0.8889285,0.1264286
4417,0.7305556,0.8560000,0.3935714
4348,0.6873016,0.8927143,0.3835715
3899,0.5750001,0.0489285,0.3821428
2882,0.3023810,0.0764286,0.4832143
3859,0.1265873,0.0335714,0.7035715
4611,0.7753969,0.0900000,0.4510716
3008,0.4253967,0.0564285,0.4057142
4484,0.5845238,0.3224286,0.3846429
3511,0.2563490,0.1714285,0.6439285
3270,0.4444444,0.0498572,0.4021429
4676,0.5432541,0.0635714,0.3685713
3733,0.6825398,0.0744285,0.3142857
4044,0.5666666,0.8472143,0.4949999
4293,0.2309523,0.8642858,0.5499999
2927,0.4960317,0.7004286,0.5960714
4318,0.3722222,0.8681428,0.1771430
2693,0.3099206,0.8631429,0.4503572
4505,0.6234126,0.7846428,0.4292857
3192,0.3257936,0.8215714,0.7710714
3564,0.5678571,0.8260715,0.5382142
4149,0.2210317,0.7666428,0.7085714
2688,0.0765872,0.8794286,0.8025000
4287,0.1134921,0.0451429,0.4271429
4361,0.5130953,0.0892857,0.3699998
4305,0.4793650,0.0821429,0.2817856
2773,0.3087302,0.3506428,0.3796429
4579,0.1646825,0.1237142,0.2046429
2904,0.5234127,0.1170000,0.4710714
4423,0.4571429,0.0735715,0.3571430
3176,0.2305556,0.0843571,0.4660715
3211,0.4420636,0.0335000,0.0571429
3683,0.1793651,0.0621429,0.5132142
3814,0.0793652,0.8936429,0.7067857
2635,0.3555556,0.9335714,0.5403569
3641,0.2519840,0.7047143,0.4271429
4333,0.2761905,0.8448571,0.5496429
3479,0.7099207,0.8485001,0.5839287
4062,0.5277779,0.8853571,0.5025000
2625,0.6123018,0.7493571,0.5671429
4158,0.4575395,0.8392857,0.5871428
3699,0.4952381,0.8152144,0.4160714
3339,0.5527777,0.9212858,0.6092857
3325,0.6166667,0.0830714,0.3671429
3421,0.4920636,0.0904999,0.3875000
3621,0.4198413,0.1678571,0.4178570
4236,0.1134920,0.1297857,0.6246427
2694,0.6011906,0.0665000,0.4571428
3019,0.3206349,0.0739285,0.3182143
3183,0.5003969,0.0428571,0.4953571
4289,0.5404762,0.1286427,0.3710714
4649,0.1190476,0.0958571,0.6796429
3969,0.5313491,0.0661429,0.5042857
2754,0.0376984,0.8793570,0.9025000
4084,0.1686508,0.7952143,0.5928572
4021,0.4055557,0.9195000,0.3771429
4494,0.3988096,0.8166429,0.4578572
3874,0.7031747,0.8682142,0.5739286
3046,0.6075397,0.8212144,0.5596430
4106,0.1964284,0.9023572,0.5571429
4666,0.5599207,0.8475001,0.5685713
3881,0.3853175,0.9055715,0.5435714
4113,0.1250001,0.9071429,0.5096429
3658,0.4638889,0.0652858,0.5714286
4290,0.5904762,0.0210714,0.4328572
4544,0.3670636,0.0396428,0.2039287
3597,0.2063493,0.1038571,0.7521430
3780,0.3142858,0.2239284,0.6053572
4100,0.6206348,0.0745000,0.4553573
4157,0.4611113,0.0661429,0.4010716
4101,0.6531746,0.1008573,0.3496429
4696,0.8511904,0.0460715,0.4207145
3841,0.4888890,0.0758572,0.5371429
3326,0.6384921,0.8052144,0.5096430
4200,0.7460318,0.8313572,0.4728571
2888,0.7519840,0.8237143,0.6682142
2913,0.7373018,0.8198571,0.5096428
3084,0.3222222,0.7974999,0.6785714
3285,0.7571429,0.8873572,0.4950001
3735,0.1666668,0.8632143,0.7960714
3916,0.4857142,0.8482142,0.4035714
2464,0.7087301,0.8275000,0.4742858
3933,0.4825398,0.7987858,0.5428571
3676,0.3865080,0.0835000,0.3407142
4229,0.8384921,0.0415714,0.4292856
3760,0.4626983,0.0239285,0.3739285
3934,0.5484127,0.1304286,0.4607142
4366,0.4515872,0.0699286,0.3692856
3782,0.2218255,0.0733572,0.7671428
3836,0.2162698,0.0437143,0.5460715
3972,0.1130954,0.0777143,0.6425001
4272,0.1678572,0.0645000,0.8010715
4244,0.2015873,0.1110000,0.5460714
